name,gene,SRR21835896,SRR21835897,SRR21835898,SRR21835899,SRR21835900,SRR21835901
SAUSA300_RS00095,SAUSA300_RS00095,0,0,0,0,0,0
SAUSA300_RS00100,SAUSA300_RS00100,0,0,0,0,0,0
SAUSA300_RS02390,SAUSA300_RS02390,0,2,0,1,3,1
SAUSA300_RS15100,SAUSA300_RS15100,353,307,285,203,215,273
SAUSA300_RS02440,SAUSA300_RS02440,0,0,0,0,0,0
SAUSA300_RS02445,SAUSA300_RS02445,2,4,0,1,1,3
SAUSA300_RS02450,SAUSA300_RS02450,0,0,0,0,0,0
SAUSA300_RS02665,SAUSA300_RS02665,0,1,0,0,0,0
SAUSA300_RS02670,SAUSA300_RS02670,0,9,9,0,10,0
SAUSA300_RS02675,SAUSA300_RS02675,0,0,1,0,0,0
SAUSA300_RS02680,SAUSA300_RS02680,5,3,4,1,0,1
SAUSA300_RS02685,SAUSA300_RS02685,24,41,29,20,9,15
SAUSA300_RS02690,SAUSA300_RS02690,0,0,0,0,0,0
SAUSA300_RS15205,SAUSA300_RS15205,8509,11727,15748,8925,11564,8905
SAUSA300_RS04975,SAUSA300_RS04975,0,0,0,0,0,0
SAUSA300_RS04980,SAUSA300_RS04980,0,0,0,0,0,0
SAUSA300_RS05785,SAUSA300_RS05785,0,0,1,1,0,0
SAUSA300_RS15340,SAUSA300_RS15340,559,940,1324,652,783,652
SAUSA300_RS15370,SAUSA300_RS15370,547,275,431,319,197,350
SAUSA300_RS09700,SAUSA300_RS09700,0,0,0,0,0,0
SAUSA300_RS09705,SAUSA300_RS09705,0,0,0,0,0,0
SAUSA300_RS09710,SAUSA300_RS09710,0,0,0,0,0,0
SAUSA300_RS09715,SAUSA300_RS09715,0,0,0,0,0,0
SAUSA300_RS09720,SAUSA300_RS09720,0,0,0,0,0,0
SAUSA300_RS09725,SAUSA300_RS09725,0,0,0,0,0,0
SAUSA300_RS09730,SAUSA300_RS09730,0,0,0,0,0,0
SAUSA300_RS09735,SAUSA300_RS09735,0,0,0,0,0,0
SAUSA300_RS09910,SAUSA300_RS09910,0,0,0,0,0,0
SAUSA300_RS15810,SAUSA300_RS15810,4,5,4,0,3,0
SAUSA300_RS09915,SAUSA300_RS09915,0,3,0,1,3,0
SAUSA300_RS09920,SAUSA300_RS09920,0,0,0,0,0,0
SAUSA300_RS09925,SAUSA300_RS09925,0,0,0,0,0,0
SAUSA300_RS09930,SAUSA300_RS09930,0,0,0,0,0,0
SAUSA300_RS09935,SAUSA300_RS09935,0,0,0,0,0,0
SAUSA300_RS09940,SAUSA300_RS09940,0,0,1,1,1,1
SAUSA300_RS09945,SAUSA300_RS09945,0,0,0,0,0,0
SAUSA300_RS09950,SAUSA300_RS09950,0,0,0,0,0,0
SAUSA300_RS09955,SAUSA300_RS09955,0,0,0,0,0,0
SAUSA300_RS09960,SAUSA300_RS09960,0,0,0,0,0,0
SAUSA300_RS09965,SAUSA300_RS09965,0,1,2,0,0,0
SAUSA300_RS09970,SAUSA300_RS09970,1,1,1,0,1,1
SAUSA300_RS09975,SAUSA300_RS09975,0,0,0,0,0,0
SAUSA300_RS09980,SAUSA300_RS09980,0,0,1,0,0,0
SAUSA300_RS09985,SAUSA300_RS09985,1,1,1,0,0,0
SAUSA300_RS09990,SAUSA300_RS09990,0,0,1,0,0,0
SAUSA300_RS09995,SAUSA300_RS09995,1,2,0,0,1,0
SAUSA300_RS10000,SAUSA300_RS10000,3,4,12,2,3,3
SAUSA300_RS10005,SAUSA300_RS10005,0,0,4,0,2,0
SAUSA300_RS10010,SAUSA300_RS10010,0,3,3,1,0,0
SAUSA300_RS10015,SAUSA300_RS10015,0,0,0,0,0,0
SAUSA300_RS10020,SAUSA300_RS10020,0,0,0,0,0,0
SAUSA300_RS10025,SAUSA300_RS10025,0,0,0,0,0,0
SAUSA300_RS10030,SAUSA300_RS10030,0,0,0,0,0,0
SAUSA300_RS10035,SAUSA300_RS10035,0,0,0,0,0,0
SAUSA300_RS10040,SAUSA300_RS10040,5,17,7,8,6,2
SAUSA300_RS10045,SAUSA300_RS10045,3,4,10,3,2,7
SAUSA300_RS10050,SAUSA300_RS10050,0,0,0,0,0,0
SAUSA300_RS10055,SAUSA300_RS10055,0,3,0,1,2,0
SAUSA300_RS11085,SAUSA300_RS11085,0,0,0,0,0,0
SAUSA300_RS11090,SAUSA300_RS11090,0,0,0,0,0,0
SAUSA300_RS11095,SAUSA300_RS11095,0,0,0,0,0,0
SAUSA300_RS11100,SAUSA300_RS11100,0,3,7,0,1,0
SAUSA300_RS11105,SAUSA300_RS11105,0,0,0,0,0,0
SAUSA300_RS11655,SAUSA300_RS11655,0,0,1,0,0,0
SAUSA300_RS11660,SAUSA300_RS11660,0,0,0,0,0,0
SAUSA300_RS11665,SAUSA300_RS11665,0,1,0,0,0,0
SAUSA300_RS11670,SAUSA300_RS11670,0,1,0,0,0,0
SAUSA300_RS11675,SAUSA300_RS11675,0,0,0,0,0,0
SAUSA300_RS11680,SAUSA300_RS11680,0,0,0,0,0,0
SAUSA300_RS11685,SAUSA300_RS11685,0,0,0,0,0,0
SAUSA300_RS11690,SAUSA300_RS11690,1,0,0,0,1,2
SAUSA300_RS11695,SAUSA300_RS11695,0,0,0,0,0,0
