name,state,FDR,A1,A2,A3,B1,B2,B3
GENE-51,YES,0,599,205,440,192,190,180
GENE-206,YES,0,33,64,44,22,20,24
GENE-242,YES,0,103648,105931,144766,2556,3784,3640
GENE-306,YES,0,31,54,38,62,27,38
GENE-382,YES,0,84,101,76,9,6,8
GENE-406,YES,0,794,935,736,1974,1932,2266
GENE-514,YES,0,13,3,3,12,11,21
GENE-725,YES,0,15,11,31,46,39,22
GENE-822,YES,0,266,226,294,8,11,12
GENE-830,YES,0,18,10,9,43,64,47
GENE-870,YES,0,575,603,587,810,780,767
GENE-895,YES,0,80,69,73,38,37,41
GENE-1194,YES,0,6,17,13,39,22,24
GENE-1259,YES,0,1168,1273,1508,282,260,318
GENE-1508,YES,0,19,12,10,57,26,51
GENE-1569,YES,0,45,29,49,41,26,26
GENE-1604,YES,0,118,120,90,7,9,17
GENE-1766,YES,0,14,6,10,19,16,20
GENE-1783,YES,0,88,84,151,11,15,8
GENE-2073,YES,0,156,227,162,58,37,147
GENE-2405,YES,0,144,171,119,7,14,9
GENE-2581,YES,0,421,379,415,293,270,303
GENE-2623,YES,0,249,185,165,145,130,140
GENE-2862,YES,0,85,113,141,1099,1197,1157
GENE-2885,YES,0,8,100,306,592,292,978
GENE-2983,YES,0,95,85,99,97,101,156
GENE-3030,YES,0,12,5,5,69,90,104
GENE-3075,YES,0,113,173,142,218,226,176
GENE-3394,YES,0,135,102,172,2589,2915,2288
GENE-3410,YES,0,518,527,547,2598,3010,2187
GENE-3471,YES,0,39,29,209,216,43,413
GENE-3593,YES,0,353,303,309,1754,1880,1852
GENE-3944,YES,0,6981,8111,6493,3784,3685,3846
GENE-3949,YES,0,1105,884,1143,53,52,54
GENE-4085,YES,0,22,33,36,17,25,26
GENE-4095,YES,0,80,20,119,1077,628,443
GENE-4296,YES,0,116,130,81,30,18,36
GENE-4335,YES,0,586,607,561,1038,658,716
GENE-4540,YES,0,24,14,14,54,88,74
GENE-4634,YES,0,45,30,29,65,69,57
GENE-4692,YES,0,32,45,32,662,730,566
GENE-4738,YES,0,62,61,98,17,6,8
GENE-4786,YES,0,61,67,32,7,6,8
GENE-4793,YES,0,480,591,683,1270,1224,1268
GENE-4830,YES,0,13,8,10,57,45,59
GENE-5031,YES,0,30,32,40,95,154,129
GENE-5047,YES,0,82,100,136,212,225,247
GENE-5140,YES,0,81,60,73,125,101,140
GENE-5144,YES,0,46,47,67,1138,566,595
GENE-5257,YES,0,28,28,21,386,592,712
GENE-5262,YES,0,211,324,255,143,39,209
GENE-5268,YES,0,1642,1515,2301,3825,3333,3897
GENE-5307,YES,0,22,28,22,54,35,42
GENE-5336,YES,0,5,4,2,37,34,27
GENE-5745,YES,0,4026,3222,2842,1483,1488,1385
GENE-5930,YES,0,171,311,248,21,12,17
GENE-5999,YES,0,2734,2241,3086,369,324,322
GENE-6056,YES,0,5,6,5,69,70,45
GENE-6085,YES,0,12,10,19,60,36,50
GENE-6155,YES,0,1340,1216,1146,1262,1337,1241
GENE-6192,YES,0,88,90,92,124,108,90
GENE-6250,YES,0,148,125,156,155,258,174
GENE-6294,YES,0,23,34,33,31,59,23
GENE-6298,YES,0,59,54,40,96,114,99
GENE-6461,YES,0,221,191,253,340,359,299
GENE-6497,YES,0,1615,2453,1727,1174,1450,1103
GENE-6578,YES,0,740,726,775,373,312,349
