name,state,baseMean,baseMeanA,baseMeanB,foldChange,log2FoldChange,PValue,PAdj,FDR,falsePos,A1,A2,A3,B1,B2,B3
GENE-3949,YES,1100.3,1047.3,53,0.051,-4.3,5.0e-08,2.0e-04,2e-04,0,1107,890,1145,53,52,54
GENE-8154,YES,1779.7,1643.7,136,0.083,-3.6,1.5e-07,7.0e-04,2e-04,0,1730,1667,1534,158,129,121
GENE-13504,YES,783.3,751.3,32,0.043,-4.6,1.6e-07,8.0e-04,2e-04,0,699,825,730,40,26,30
GENE-242,YES,121841.3,118527,3314.3,0.028,-5.2,2.0e-07,9.0e-04,2e-04,0,103869,106653,145059,2548,3765,3630
GENE-822,YES,273.7,263.3,10.3,0.04,-4.7,2.1e-07,1.0e-03,2e-04,0,267,228,295,8,11,12
GENE-4692,YES,686.3,36.3,650,17.769,4.2,3.1e-07,1.5e-03,2e-04,0,32,45,32,660,726,564
GENE-16585,YES,418.7,415.3,3.3,0.008,-6.9,4.2e-07,2.0e-03,3e-04,0,417,454,375,4,1,5
GENE-3593,YES,2145,323,1822,5.642,2.5,4.8e-07,2.3e-03,3e-04,0,354,305,310,1748,1871,1847
GENE-3394,YES,2724.3,136.7,2587.7,18.902,4.2,5.7e-07,2.7e-03,3e-04,0,135,103,172,2581,2900,2282
GENE-5999,YES,3033,2696,337,0.125,-3,6.6e-07,3.1e-03,3e-04,0,2740,2256,3092,368,322,321
GENE-16815,YES,19866.3,18394,1472.3,0.08,-3.6,8.9e-07,4.2e-03,4e-04,0,21204,13484,20494,1607,1360,1450
GENE-16859,YES,815,734.7,80.3,0.109,-3.2,9.1e-07,4.3e-03,4e-04,0,848,641,715,82,92,67
GENE-9997,YES,2652,473,2179,4.605,2.2,1.0e-06,4.8e-03,4e-04,0,480,480,459,2388,2118,2031
GENE-2862,YES,1260.3,113.3,1147,10.102,3.3,1.3e-06,6.4e-03,4e-04,0,85,114,141,1096,1191,1154
GENE-10654,YES,2405.7,1942.7,463,0.238,-2.1,1.5e-06,6.9e-03,4e-04,0,2023,1975,1830,436,498,455
GENE-5257,YES,587,25.7,561.3,21.686,4.4,1.5e-06,7.1e-03,4e-04,0,28,28,21,385,589,710
GENE-9064,YES,188,179,9,0.051,-4.3,1.5e-06,7.2e-03,4e-04,0,180,166,191,8,13,6
GENE-11622,YES,114.7,9.3,105.3,11.103,3.5,1.8e-06,8.4e-03,4e-04,0,11,9,8,101,124,91
GENE-15270,YES,233.3,228.7,4.7,0.021,-5.6,1.8e-06,8.5e-03,4e-04,0,258,173,255,2,6,6
GENE-14619,YES,321.7,57.3,264.3,4.587,2.2,2.0e-06,9.6e-03,5e-04,0,63,56,53,260,258,275
GENE-382,YES,95,87.3,7.7,0.089,-3.5,2.3e-06,1.1e-02,5e-04,0,84,102,76,9,6,8
GENE-9066,YES,348.3,311.7,36.7,0.118,-3.1,2.5e-06,1.2e-02,5e-04,0,309,248,378,34,42,34
GENE-3410,YES,3121.3,532.7,2588.7,4.859,2.3,2.6e-06,1.2e-02,5e-04,0,519,531,548,2590,2995,2181
GENE-9937,YES,2569,2098,471,0.225,-2.2,2.7e-06,1.3e-02,5e-04,0,2265,1889,2140,497,413,503
