#
# Found only in counts.csv

name,state,FDR,A1,A2,A3,B1,B2,B3
GENE-51,YES,0,599,205,440,192,190,180
GENE-206,YES,0,33,64,44,22,20,24
GENE-306,YES,0,31,54,38,62,27,38
GENE-514,YES,0,13,3,3,12,11,21
GENE-725,YES,0,15,11,31,46,39,22
GENE-870,YES,0,575,603,587,810,780,767
GENE-1194,YES,0,6,17,13,39,22,24
GENE-1508,YES,0,19,12,10,57,26,51
GENE-1569,YES,0,45,29,49,41,26,26
GENE-1766,YES,0,14,6,10,19,16,20
GENE-2073,YES,0,156,227,162,58,37,147
GENE-2581,YES,0,421,379,415,293,270,303
GENE-2623,YES,0,249,185,165,145,130,140
GENE-2885,YES,0,8,100,306,592,292,978
GENE-2983,YES,0,95,85,99,97,101,156
GENE-3075,YES,0,113,173,142,218,226,176
GENE-3471,YES,0,39,29,209,216,43,413
GENE-4085,YES,0,22,33,36,17,25,26
GENE-4095,YES,0,80,20,119,1077,628,443
GENE-4335,YES,0,586,607,561,1038,658,716
GENE-4634,YES,0,45,30,29,65,69,57
GENE-5047,YES,0,82,100,136,212,225,247
GENE-5140,YES,0,81,60,73,125,101,140
GENE-5262,YES,0,211,324,255,143,39,209
GENE-5268,YES,0,1642,1515,2301,3825,3333,3897
GENE-5307,YES,0,22,28,22,54,35,42
GENE-6155,YES,0,1340,1216,1146,1262,1337,1241
GENE-6192,YES,0,88,90,92,124,108,90
GENE-6250,YES,0,148,125,156,155,258,174
GENE-6294,YES,0,23,34,33,31,59,23
GENE-6298,YES,0,59,54,40,96,114,99
GENE-6461,YES,0,221,191,253,340,359,299
GENE-6497,YES,0,1615,2453,1727,1174,1450,1103
GENE-7104,YES,0,875,1006,1057,636,583,677
GENE-7192,YES,0,2565,1646,3711,1282,2235,1924
GENE-7301,YES,0,224,236,173,163,221,204
GENE-7328,YES,0,15,33,22,50,67,68
GENE-7770,YES,0,1414,602,2584,1238,1799,3434
GENE-8033,YES,0,331,188,195,73,114,113
GENE-8374,YES,0,33,104,81,100,152,133
GENE-8383,YES,0,581,330,392,326,330,246
GENE-8622,YES,0,165,232,235,123,126,165
GENE-8796,YES,0,227,302,517,319,752,714
GENE-8966,YES,0,57,53,51,46,51,38
GENE-9010,YES,0,12,11,12,17,17,21
GENE-9091,YES,0,141,103,211,366,246,177
GENE-9180,YES,0,130,154,124,94,80,59
GENE-9189,YES,0,485,406,486,878,669,688
GENE-9273,YES,0,157,93,178,36,93,34
GENE-9312,YES,0,1209,1317,667,344,764,423
GENE-9370,YES,0,1029,1069,1008,1012,1006,1087
GENE-9432,YES,0,641,549,689,421,658,436
GENE-9545,YES,0,13,18,15,12,18,16
GENE-9635,YES,0,17,29,34,35,22,32
GENE-10112,YES,0,44,42,54,73,58,75
GENE-10263,YES,0,392,310,403,286,397,352
GENE-10544,YES,0,768,662,760,398,183,355
GENE-10585,YES,0,55,39,48,37,44,67
GENE-10673,YES,0,1117,867,234,7171,5409,2360
GENE-10702,YES,0,9,10,7,11,15,15
GENE-10705,YES,0,196,312,246,95,140,104
GENE-10742,YES,0,35,26,25,913,3293,115
GENE-10778,YES,0,217,279,175,165,120,245
GENE-10956,YES,0,31,19,21,18,13,9
GENE-11003,YES,0,1203,512,914,174,461,316
GENE-11609,YES,0,23,33,20,56,56,71
GENE-12205,YES,0,49,0,0,5,345,78
